Shazam Support Services Inc
Toys 'R' Us
"New Era Cap Co., Inc."
"Barneys, Inc."
"Pinkberry, Inc."
GoPro
"New Belgium Brewing Company, Inc."
Ernst & Young U.S. LLP
"Jimmy John's Franchise, LLC"
"The TriZetto Group, Inc."
"Spanx, Inc"
"Vineyard Vines, Llc"
Planet Fitness
PricewaterhouseCoopers LLP
Shazam Support Services Inc
"Wawa, Inc."
"Sierra Nevada Brewing Company, Inc"
"Mophie, LLC"
"Modcloth, Inc."
Giorgio Armani Corporation
"Blue Jeans Network, Inc."
"Appirio, Inc."
"Carhartt, Inc."
Fitbit Inc
Whatsapp Inc.
"Nest Labs, Inc."
"Five Guys Enterprises, LLC"
"Grubhub, Inc."
"Tumblr, Inc."
Lost Arrow Corporation
"Bass Pro Group, LLC"
