"Ancestry.com, Inc.","Ancestry.com, Inc."
"JDA Software Group, Inc.","JDA Software Group, Inc."
"California Pizza Kitchen, Inc.","California Pizza Kitchen, Inc."
"Caribou Coffee Company, Inc.","Caribou Coffee Company, Inc."
"Peet's Coffee & Tea, Inc.","Peet's Coffee & Tea, Inc."
"Southern Wine & Spirits of America, Inc.","Southern Wine & Spirits of America, Inc."
"AVI-SPL, Inc.","AVI-SPL, Inc."
"Organic Avenue, LLC","Organic Avenue, LLC"
"eClinicalWorks, LLC","eClinicalWorks, LLC"
The Jim Pattison Group,The Jim Pattison Group
Volusion,Volusion
"World Wide Technology, Inc.","World Wide Technology, Inc."
"SumTotal Systems, Inc.","SumTotal Systems, Inc."
"Bullhorn, Inc.","Bullhorn, Inc."
"MINDBODY, Inc.","MINDBODY, Inc."
"Pelican Products, Inc.","Pelican Products, Inc."
"Dealer Dot Com, Inc.","Dealer Dot Com, Inc."
"Tenable Network Security, Inc.","Tenable Network Security, Inc."
"Avalara, Inc.","Avalara, Inc."
Andersen Corporation,Andersen Corporation
"Barry-Wehmiller Companies, Inc.","Barry-Wehmiller Companies, Inc."
"Beall's, Inc.","Beall's, Inc."
Ceridian Corporation,Ceridian Corporation
Discount Tire Co. Inc.,Discount Tire Co. Inc.
"GGNSC Holdings, LLC","GGNSC Holdings, LLC"
"International Data Group, Inc.","International Data Group, Inc."
"JELD-WEN, Inc.","JELD-WEN, Inc."
"Lifetouch, Inc.","Lifetouch, Inc."
Taylor Corporation,Taylor Corporation
"Capital Group Companies, Inc.","Capital Group Companies, Inc."
Wilbur-Ellis,Wilbur-Ellis
"Hyland Software, Inc","Hyland Software, Inc"
MOM Brands Co.,MOM Brands Co.
"BrightSource Energy, Inc.","BrightSource Energy, Inc."
"Bumble Bee Foods, LLC","Bumble Bee Foods, LLC"
"5Linx Enterprises, Inc.","5Linx Enterprises, Inc."
Rich Products Corporation,Rich Products Corporation
YapStone,YapStone
"SmartPak Equine, LLC","SmartPak Equine, LLC"
"Raising Cane's Restaurants, LLC","Raising Cane's Restaurants, LLC"
Kimpton Hotel and Restaurant Group LLC,Kimpton Hotel and Restaurant Group LLC
Boston Celtics L.P.,Boston Celtics L.P.
Zuora Inc.,Zuora Inc.
"Act-On Software, Inc.","Act-On Software, Inc."
Art.com Inc.,Art.com Inc.
"Axcient, Inc.","Axcient, Inc."
"BeachMint, Inc.","BeachMint, Inc."
"Blue Kai, Inc.","Blue Kai, Inc."
"EdgeCast Networks, Inc.","EdgeCast Networks, Inc."
"HireVue, Inc.","HireVue, Inc."
"Inrix, Inc.","Inrix, Inc."
"Kabam, Inc","Kabam, Inc"
"Ooyala, Inc.","Ooyala, Inc."
"SendGrid, Inc.","SendGrid, Inc."
TOA Technologies Inc.,TOA Technologies Inc.
"Wildfire Interactive, Inc.","Wildfire Interactive, Inc."
"ACE Cash Express, Inc.","ACE Cash Express, Inc."
Advantage Sales & Marketing LLC,Advantage Sales & Marketing LLC
ABARTA Inc.,ABARTA Inc.
Calypso Technology Inc.,Calypso Technology Inc.
The North Highland Company,The North Highland Company
Genco,Genco
The Irvine Company LLC,The Irvine Company LLC
"Targus Group International, Inc.","Targus Group International, Inc."
Modell's Sporting Goods,Modell's Sporting Goods
24 Seven,24 Seven
"Accruent, Inc.","Accruent, Inc."
McCain Foods Limited,McCain Foods Limited
Harbor Freight Tools,Harbor Freight Tools
"INC Research, LLC.","INC Research, LLC."
"TelaDoc, Inc.","TelaDoc, Inc."
Yext,Yext
Credit Karma Inc.,Credit Karma Inc.
"MuleSoft, Inc.","MuleSoft, Inc."
Guavus Inc.,Guavus Inc.
Lot18,Lot18
Nutanix,Nutanix
"OpenX Technologies, Inc.","OpenX Technologies, Inc."
"Urban Airship, Inc.","Urban Airship, Inc."
3C Software,3C Software
Denver Broncos,Denver Broncos
New England Patriots,New England Patriots
Wieden+Kennedy,Wieden+Kennedy
Amy's Kitchen Inc.,Amy's Kitchen Inc.
"Nurture, Inc","Nurture, Inc"
Revolution Foods Inc.,Revolution Foods Inc.
Best Doctors Inc.,Best Doctors Inc.
Meltwater Group,Meltwater Group
"ClearSlide, Inc.","ClearSlide, Inc."
Minted LLC,Minted LLC
